"Time (ms)","Recording (a.u.)"
3.729307928E0,-7.871474326E-2
3.750142051E0,-7.377089560E-2
3.770976173E0,-6.939999014E-2
3.791810296E0,-6.558776647E-2
3.812644418E0,-6.207014620E-2
3.833478541E0,-5.884356797E-2
3.854312663E0,-5.533931032E-2
3.875146786E0,-5.143199116E-2
3.895980908E0,-4.779927805E-2
3.916815031E0,-4.424900934E-2
3.937649153E0,-4.091515392E-2
3.958483276E0,-3.784458339E-2
3.979317398E0,-3.445862234E-2
4.000151521E0,-3.126276284E-2
4.020985643E0,-2.878824249E-2
4.041819766E0,-2.710032091E-2
4.062653888E0,-2.611805499E-2
4.083488011E0,-2.547626570E-2
4.104322133E0,-2.522707358E-2
4.125156256E0,-2.496015839E-2
4.145990378E0,-2.400382608E-2
4.166824501E0,-2.210202254E-2
4.187658623E0,-1.901868731E-2
4.208492746E0,-1.499724202E-2
4.229326868E0,-1.071793865E-2
4.250160991E0,-6.854295731E-3
4.270995113E0,-3.635301720E-3
4.291829236E0,-8.572437218E-4
4.312663358E0,1.757166581E-3
4.333497481E0,4.590261728E-3
4.354331603E0,7.810983807E-3
4.375165726E0,1.103023347E-2
4.395999848E0,1.449773647E-2
4.416833971E0,1.822546311E-2
4.437668093E0,2.173442394E-2
4.458502216E0,2.533229068E-2
4.479336338E0,2.857608348E-2
4.500170461E0,3.130181134E-2
4.521004584E0,3.353657573E-2
4.541838706E0,3.523564339E-2
4.562672829E0,3.667461872E-2
4.583506951E0,3.712036461E-2
4.604341074E0,3.685222566E-2
4.625175196E0,3.532776237E-2
4.646009319E0,3.222885728E-2
4.666843441E0,2.875540778E-2
4.687677564E0,2.398395725E-2
4.708511686E0,1.822671480E-2
4.729345809E0,1.280851383E-2
4.750179931E0,6.901346613E-3
4.771014054E0,-5.776877515E-5
4.791848176E0,-7.899527438E-3
4.812682299E0,-1.818496175E-2
4.833516421E0,-3.141279519E-2
4.854350544E0,-4.457018524E-2
4.875184666E0,-5.773959309E-2
4.896018789E0,-7.113965601E-2
4.916852911E0,-8.126185834E-2
4.937687034E0,-8.976005763E-2
4.958521156E0,-9.948645532E-2
4.979355279E0,-1.080979854E-1
5.000189401E0,-1.160665452E-1
5.021023524E0,-1.252653599E-1
5.041857646E0,-1.323760748E-1
5.062691769E0,-1.372979283E-1
5.083525891E0,-1.424906105E-1
5.104360014E0,-1.445343345E-1
5.125194136E0,-1.449442953E-1
5.146028259E0,-1.472723931E-1
5.166862381E0,-1.475575715E-1
5.187696504E0,-1.469193399E-1
5.208530626E0,-1.477364749E-1
5.229364749E0,-1.456010044E-1
5.250198871E0,-1.408166587E-1
5.271032994E0,-1.346947104E-1
5.291867116E0,-1.236515045E-1
5.312701239E0,-1.094181836E-1
5.333535361E0,-9.401398897E-2
5.354369484E0,-7.454292476E-2
5.375203606E0,-5.387754366E-2
5.396037729E0,-3.525834158E-2
5.416871851E0,-1.623778977E-2
5.437705974E0,3.347173333E-5
5.458540096E0,1.271049399E-2
5.479374219E0,2.857138589E-2
5.500208341E0,4.568312690E-2
5.521042464E0,6.232108921E-2
5.541876586E0,8.131857216E-2
5.562710709E0,9.762003273E-2
5.583544831E0,1.088891178E-1
5.604378954E0,1.173859239E-1
5.625213076E0,1.236307323E-1
5.646047199E0,1.303179711E-1
5.666881321E0,1.396624595E-1
5.687715444E0,1.511914581E-1
5.708549566E0,1.651254594E-1
5.729383689E0,1.800566614E-1
5.750217811E0,1.906607449E-1
5.771051934E0,1.960180551E-1
5.791886056E0,1.958143562E-1
5.812720179E0,1.885207891E-1
5.833554301E0,1.797565222E-1
5.854388424E0,1.716033667E-1
5.875222546E0,1.614645422E-1
5.896056669E0,1.522192061E-1
5.916890791E0,1.427616030E-1
5.937724914E0,1.279982924E-1
5.958559036E0,1.115781367E-1
5.979393159E0,9.530548751E-2
6.000227281E0,7.718425989E-2
6.021061404E0,6.217622012E-2
6.041895526E0,5.164396390E-2
6.062729649E0,4.306442663E-2
6.083563771E0,3.777506575E-2
6.104397894E0,3.432077542E-2
6.125232016E0,2.833085135E-2
6.146066139E0,2.024894953E-2
6.166900261E0,1.118644327E-2
6.187734384E0,1.095391810E-3
6.208568506E0,-6.464153528E-3
6.229402629E0,-1.152136270E-2
